ID,Hour,value
p3037,320,0.0
p3038,320,0.0
p3039,320,0.0
p3040,320,0.0
p3041,320,0.0
p3042,320,0.0
p3043,320,0.0
p3044,320,0.0
p3045,320,0.0
p3046,320,0.0
p3047,320,0.0
p3048,320,0.0
p3049,320,0.0
p3050,320,0.0
p3051,320,0.0
p3052,320,0.0091
p3053,320,0.0
p3054,320,0.0
p3055,320,0.0
p3056,320,0.0
p3057,320,0.0
p3058,320,0.0
p168,321,0.0
p176,321,0.0
p177,321,0.0
p185,321,0.0
p190,321,0.0
p191,321,0.0
p192,321,0.0
p193,321,0.0
p194,321,0.0
p195,321,0.0
p198,321,0.0
p199,321,0.0
p202,321,0.0
p205,321,0.0
p212,321,0.0
p213,321,0.0
p219,321,0.0
p220,321,0.0
p221,321,0.0
p222,321,0.0
p223,321,0.0
p224,321,0.0
p271,321,6.434889385836745
p278,321,0.0
p282,321,0.0
p285,321,0.0
p2752,321,0.0
p2753,321,0.0
p2754,321,0.0
p2755,321,0.0
p2756,321,0.0
p2757,321,0.0
p2758,321,0.0
p2759,321,0.0
p2760,321,0.0
p2761,321,0.0
p2762,321,0.0
p2763,321,0.0
p2764,321,0.0
p2765,321,0.0
p2766,321,0.0
p2767,321,0.0
p2768,321,0.0
p2769,321,0.0
p2770,321,0.0
p2771,321,0.0
p2772,321,0.0
p2773,321,0.0
p2774,321,0.0
p2775,321,0.0
p2776,321,0.0
p2777,321,0.0
p2778,321,0.0
p2779,321,0.0
p2780,321,0.0
p2781,321,0.0
p2782,321,0.0
p2783,321,0.0
p2784,321,0.0
p2785,321,0.0
p2786,321,0.0
p2787,321,0.0
p2788,321,0.0
p2789,321,0.0
p2790,321,0.0
p2791,321,0.0
p2792,321,0.0
p2793,321,0.0
p2794,321,0.0
p2795,321,0.0
p2796,321,0.0
p2797,321,0.0
p2798,321,0.0
p2799,321,0.0
p2800,321,0.0
p2801,321,0.03211
p2802,321,0.0
p2803,321,0.0
p2804,321,0.0
p2805,321,0.0508
p2806,321,0.0
p2807,321,0.011
p2808,321,0.0
p2809,321,0.0
p2810,321,0.0
p2811,321,0.0
p2812,321,0.0
p2813,321,0.0
p2814,321,0.0
p2815,321,0.0
p2816,321,0.0
p2817,321,0.0
p2818,321,0.0
p2819,321,0.0
p2820,321,0.0
p2821,321,0.0
p2822,321,0.0
p2823,321,0.0
p2824,321,0.0
p2825,321,0.0
p2826,321,0.0
p2827,321,0.0
p2828,321,0.0
p2829,321,0.0
p2830,321,0.0
p2831,321,0.0
p2832,321,0.0
p2833,321,0.0
p2834,321,0.0
p2835,321,0.0134
p2836,321,0.0
p2837,321,0.0
p2838,321,0.0
p2839,321,0.0
p2840,321,0.0
p2841,321,0.0
p2842,321,0.0
p2843,321,0.0
p2844,321,0.0
p2845,321,0.0
p2846,321,0.0
p2847,321,0.0
p2848,321,0.0
p2849,321,0.0
p2850,321,0.0
p2851,321,0.0
p2852,321,0.0
p2853,321,0.0
p2854,321,0.0
p2855,321,0.0
p2856,321,0.0
p2857,321,0.0
p2858,321,0.0
p2859,321,0.0
p2860,321,0.0
p2861,321,0.0
p2862,321,0.0
p2863,321,0.0
p2864,321,0.0
p2865,321,0.0
p2866,321,0.0
p2867,321,0.0
p2868,321,0.0
p2869,321,0.0
p2870,321,0.0
p2871,321,0.0
p2872,321,0.0
p2873,321,0.0
p2874,321,0.0
p2875,321,0.0
p2876,321,0.0
p2877,321,0.0
p2878,321,0.0
p2879,321,0.0
p2880,321,0.0
p2881,321,0.0
p2882,321,0.0
p2883,321,0.0
p2884,321,0.0
p2885,321,0.0
p2886,321,0.0
p2887,321,0.0
p2888,321,0.0
p2889,321,0.0
p2890,321,0.0
p2891,321,0.0
p2892,321,0.0
p2893,321,0.0
p2894,321,0.0123
p2895,321,0.0
p2896,321,0.0
p2897,321,0.0
p2898,321,0.0
p2899,321,0.0
p2900,321,0.0
p2901,321,0.0
p2902,321,0.0
p2903,321,0.0
p2904,321,0.0
p2905,321,0.0
p2906,321,0.0
p2907,321,0.0
p2908,321,0.0
p2909,321,0.0
p2910,321,0.03304
p2911,321,0.0
p2912,321,0.0
p2913,321,0.0
p2914,321,0.0
p2915,321,0.0
p2916,321,0.0
p2917,321,0.0
p2918,321,0.0
p2919,321,0.0
p2920,321,0.0
p2921,321,0.0
p2922,321,0.0
p2923,321,0.0
p2924,321,0.05247
p2925,321,0.0
p2926,321,0.0
p2927,321,0.0
p2928,321,0.0
p2929,321,0.0
p2930,321,0.0
p2931,321,0.0
p2932,321,0.0
p2933,321,0.0
p2934,321,0.0
p2935,321,0.0
p2936,321,0.0
p2937,321,0.0
p2938,321,0.0
p2939,321,0.0
p2940,321,0.0
p2941,321,0.0
p2942,321,0.0
p2943,321,0.0
p2944,321,0.0
p2945,321,0.0
p2946,321,0.0
p2947,321,0.0
p2948,321,0.0
p2949,321,0.0
p2950,321,0.0
p2951,321,0.0
p2952,321,0.0
p2953,321,0.0
p2954,321,0.0
p2955,321,0.0
p2956,321,0.0
p2957,321,0.0
p2958,321,0.0
p2959,321,0.0
p2960,321,0.0
p2961,321,0.0
p2962,321,0.0
p2963,321,0.0
p2964,321,0.0
p2965,321,0.0
p2966,321,0.0
p2967,321,0.0
p2968,321,0.0
p2969,321,0.0
p2970,321,0.005
p2971,321,0.0
p2972,321,0.0
p2973,321,0.0
p2974,321,0.0
p2975,321,0.0
p2976,321,0.0
p2977,321,0.0
p2978,321,0.0
p2979,321,0.0
p2980,321,0.0
p2981,321,0.0
p2982,321,0.0
p2983,321,0.0
p2984,321,0.0
p2985,321,0.0
p2986,321,0.0
p2987,321,0.0
p2988,321,0.0
p2989,321,0.0
p2990,321,0.0
p2991,321,0.0
p2992,321,0.0
p2993,321,0.0033
