id,zone,lat,lon
n3303,DE,48.637446,12.172852
n3304,DE,47.941187,11.979218
n3305,DE,48.79239,11.501312
n3306,DE,48.348035,11.260986
n3307,DE,48.087,11.184
n3308,DE,48.067,11.184
n3309,DE,48.277709,11.355743
n3310,DE,48.862,11.363
n3311,DE,48.842,11.363
n3312,DE,48.545705,11.778717
n3313,DE,48.322474,11.681213
n3314,DE,48.266741,11.589203
n3315,DE,48.314255,11.825409
n3316,DE,48.868328,11.841888
n3317,DE,48.992834,12.034149
n3318,DE,48.20088,12.628784
n3319,DE,48.659222,12.292328
n3320,DE,48.332517,12.929535
n3321,DE,48.686,13.035
n3322,DE,48.666,13.035
n3323,DE,47.528329,11.122284
n3324,DE,48.801436,12.741394
n3348,AT,48.266,13.082
n3453,DE,47.707913,7.871704
n3454,DE,48.114,7.714
n3455,DE,48.094,7.714
n3456,DE,47.609,7.934
n3457,DE,47.589,7.934
n3458,DE,47.716,8.149
n3459,DE,47.696,8.149
n3460,DE,47.66,8.205
n3461,DE,47.64,8.205
n3462,DE,48.074409,8.386688
n3463,DE,48.499318,7.878571
n3464,DE,48.762526,8.245239
n3465,DE,48.992834,8.423767
n3466,DE,49.019,8.326
n3467,DE,48.999,8.326
n3468,DE,47.810388,8.962097
n3469,DE,47.789171,8.791809
n3470,DE,48.079914,8.528137
n3471,DE,48.781533,8.567963
n3472,DE,48.516604,8.749237
n3473,DE,48.244797,8.861847
n3474,DE,48.816,8.925
n3475,DE,48.796,8.925
n3476,DE,48.242967,9.84375
n3477,DE,48.037692,9.396057
n3478,DE,47.708837,9.606171
n3479,DE,47.622827,9.732513
n3480,DE,48.592051,9.280701
n3481,DE,48.484756,9.244995
n3482,DE,48.831,9.134
n3483,DE,48.811,9.134
n3484,DE,48.736267,9.328766
n3485,DE,48.397297,9.600677
n3486,DE,48.621109,9.574585
n3487,DE,49.038,9.352
n3488,DE,49.018,9.352
n3489,DE,47.952225,10.192566
n3490,DE,47.742094,10.349121
n3491,DE,47.632082,10.26535
n3492,DE,48.563885,10.421906
n3493,DE,48.493857,10.170593
n3494,DE,48.209,10.063
n3495,DE,48.189,10.063
n3496,DE,48.79239,10.095062
n3497,DE,48.622016,10.204926
n3498,DE,48.424644,10.859985
n3499,DE,48.325,10.783
n3500,DE,48.305,10.783
n3501,DE,48.62837,10.829773
n3502,DE,48.499318,10.8284
n3503,DE,48.670106,9.299927
n3504,DE,48.643798,8.022766
n3505,DE,48.946857,8.522644
n3507,DE,48.772483,9.229889
n3512,AT,47.127,9.792
n3520,AT,47.252,10.731
n3581,FR,47.631,7.412
n3587,FR,48.03861,7.474823
n3610,FR,47.885,7.394
n3735,CH,47.486,7.969
n3739,CH,47.514418,7.709656
n3827,CH,47.47,8.27
n3848,DE,47.593841,7.874779
n4494,CZ,50.230516,13.439026
n4496,DE,51.316881,12.484589
n4497,DE,51.394922,11.943512
n4498,DE,52.465214,12.935028
n4499,DE,50.21558,11.179962
n4500,DE,49.454735,11.306305
n4501,DE,50.658167,11.532898
n4502,DE,51.605225,11.455994
n4503,DE,52.011091,11.722412
n4504,DE,52.171405,11.107178
n4505,DE,52.238,11.746
n4506,DE,52.218,11.746
n4507,DE,51.18709,14.184723
n4508,DE,50.613746,12.786713
n4509,DE,50.271788,11.78009
n4510,DE,49.688066,12.049255
n4511,DE,49.36,12.031
n4512,DE,49.34,12.031
n4513,DE,50.777,12.079
n4514,DE,50.757,12.079
n4515,DE,50.591,11.722
n4516,DE,50.571,11.722
n4517,DE,50.992,11.455
n4518,DE,50.972,11.455
n4519,DE,50.877044,11.733398
n4520,DE,50.86,12.802
n4521,DE,50.84,12.802
n4522,DE,50.593699,12.33902
n4523,DE,50.793783,12.532654
n4524,DE,51.126,12.695
n4525,DE,51.106,12.695
n4526,DE,50.84844,13.040771
n4527,DE,51.013755,13.815308
n4528,DE,52.568004,12.740021
n4529,DE,51.75849,12.181091
n4530,DE,51.308296,12.685089
n4531,DE,52.097226,11.862488
n4532,DE,52.331982,12.139893
n4533,DE,52.575,12.377
n4534,DE,52.555,12.377
n4535,DE,52.107,13.362
n4536,DE,52.087,13.362
n4537,DE,51.894292,13.914185
n4538,DE,51.31,13.447
n4539,DE,51.29,13.447
n4540,DE,51.794178,14.397583
n4541,DE,52.266,13.83
n4542,DE,52.246,13.83
n4543,DE,52.406608,13.036652
n4544,DE,52.437595,13.443146
n4545,DE,52.476,13.894
n4546,DE,52.456,13.894
n4547,DE,51.532669,14.441528
n4548,DE,51.363207,14.47998
n4549,DE,51.146617,14.80957
n4550,DE,52.125058,14.61731
n4551,DE,52.409121,12.816925
n4552,DE,52.425873,13.643646
n4553,DE,51.268789,12.384338
n4554,DE,50.490716,11.147003
n4555,DE,51.730431,14.595337
n4556,DE,51.501049,14.206696
n4557,DE,51.292841,14.672241
n4558,DE,51.733833,13.167114
n4559,DE,50.605903,12.97348
n4560,DE,51.094036,13.581848
n4561,DE,51.415482,11.807556
n4562,DE,51.024121,13.130035
n4569,PL,51.059,15.088
n4575,DE,50.668613,11.35025
n4576,DE,52.302601,13.168488
n4577,DE,52.185721,11.90506
n4579,DE,52.259752,14.414062
n4580,DE,49.473,6.74
n4581,DE,49.453,6.74
n4583,DE,49.340336,7.029877
n4584,DE,51.56,6.714
n4585,DE,51.54,6.714
n4586,DE,49.482401,8.405914
n4587,DE,49.703,8.536
n4588,DE,49.683,8.536
n4589,DE,52.173089,8.925018
n4590,DE,52.54,9.168
n4591,DE,52.52,9.168
n4592,DE,51.940032,9.420776
n4593,DE,51.814558,9.930267
n4594,DE,52.24462,10.180206
n4595,DE,52.117469,10.443878
n4596,DE,52.113252,10.965729
n4597,DE,49.909671,9.360352
n4598,DE,49.351967,6.676941
n4599,DE,49.431519,6.624756
n4600,DE,49.990967,6.256714
n4601,DE,49.975,6.527
n4602,DE,49.955,6.527
n4603,DE,49.688955,6.648102
n4604,DE,50.403266,6.568451
n4605,DE,49.417,7.701
n4606,DE,49.397,7.701
n4607,DE,49.421694,7.257843
n4608,DE,49.398,6.942
n4609,DE,49.378,6.942
n4610,DE,49.326912,7.36084
n4611,DE,50.095036,7.003784
n4612,DE,50.386,7.381
n4613,DE,50.366,7.381
n4614,DE,50.333,7.585
n4615,DE,50.313,7.585
n4616,DE,49.20414,8.411407
n4617,DE,49.796336,7.724762
n4618,DE,50.05,8.352
n4619,DE,50.03,8.352
n4620,DE,49.902596,8.393555
n4621,DE,50.397138,8.11203
n4622,DE,51.105,6.791
n4623,DE,51.085,6.791
n4624,DE,50.996472,6.546478
n4625,DE,50.831963,6.278687
n4626,DE,50.915156,6.236115
n4627,DE,50.830228,6.465454
n4628,DE,50.9342,6.513519
n4629,DE,51.006,6.68
n4630,DE,50.986,6.68
n4631,DE,51.232,6.367
n4632,DE,51.212,6.367
n4633,DE,51.163844,6.700287
n4634,DE,51.061249,6.551971
n4635,DE,51.113869,6.628876
n4636,DE,51.256,6.586
n4637,DE,51.236,6.586
n4638,DE,51.356,6.601
n4639,DE,51.336,6.601
n4640,DE,51.618869,6.2677
n4641,DE,51.454863,6.591797
n4642,DE,51.64,6.617
