id,Node,Technology,Fuel,Power,Efficiency,Emission,VariableCost,Storage,Latitude,Longitude
p2856,n4630,psp,hydro,0.0195,1,0,0,0.195,50.986,6.68
p2857,n4632,psp,hydro,0.05297,1,0,0,0.5297,51.212,6.367
p2858,n4633,psp,hydro,0.01,1,0,0,0.1,51.163844,6.700287
p2859,n4635,psp,hydro,0.0022,1,0,0,0.022,51.113869,6.628876
p2860,n4640,psp,hydro,0.0306,1,0,0,0.306,51.618869,6.2677
p2861,n4641,psp,hydro,0.006,1,0,0,0.06,51.454863,6.591797
p2862,n4642,psp,hydro,0.0854,1,0,0,0.854,51.64,6.617
p2863,n4643,psp,hydro,0.0069,1,0,0,0.069,51.62,6.617
p2864,n4644,psp,hydro,0.0088,1,0,0,0.088,51.724,7.831
p2865,n4646,psp,hydro,0.05332,1,0,0,0.5332,51.524,7.314
p2866,n4648,psp,hydro,0.01721,1,0,0,0.1721,51.217,7.131
p2867,n4653,psp,hydro,0.0515,1,0,0,0.515,50.764,6.923
p2868,n4655,psp,hydro,0.0099,1,0,0,0.099,51.125075,6.958466
p2869,n4656,psp,hydro,0.0045,1,0,0,0.045,50.798,7.155
p2870,n4657,psp,hydro,0.0245,1,0,0,0.245,50.778,7.155
p2871,n4658,psp,hydro,0.0632,1,0,0,0.632,50.632042,7.098541
p2872,n4659,psp,hydro,0.0036,1,0,0,0.036,50.888308,7.028503
p2873,n4660,psp,hydro,0.0306,1,0,0,0.306,50.897836,7.215271
p2874,n4664,psp,hydro,0.00392,1,0,0,0.0392,51.329754,6.81839
p2875,n4665,psp,hydro,0.0042,1,0,0,0.042,51.409486,6.937866
p2876,n4666,psp,hydro,0.003,1,0,0,0.03,51.537794,6.834869
p2877,n4667,psp,hydro,0.006,1,0,0,0.06,51.58475,6.981812
p2878,n4672,psp,hydro,0.00508,1,0,0,0.0508,51.416,7.28
p2879,n4674,psp,hydro,0.017,1,0,0,0.17,51.659779,7.065582
p2880,n4675,psp,hydro,0.00567,1,0,0,0.0567,51.470263,7.182312
p2881,n4676,psp,hydro,0.01712,1,0,0,0.1712,51.55,7.229
p2882,n4678,psp,hydro,0.03178,1,0,0,0.3178,51.069,8.001
p2883,n4679,psp,hydro,0.02559,1,0,0,0.2559,51.049,8.001
p2884,n4682,psp,hydro,0.0267,1,0,0,0.267,50.977453,7.518768
p2885,n4683,psp,hydro,0.006,1,0,0,0.06,50.894,8.058
p2886,n4685,psp,hydro,0.016,1,0,0,0.16,50.929872,8.246613
p2887,n4687,psp,hydro,0.0088,1,0,0,0.088,51.341,7.472
p2888,n4688,psp,hydro,0.03605,1,0,0,0.3605,51.348628,7.695923
p2889,n4689,psp,hydro,0.0135,1,0,0,0.135,51.437,7.397
p2890,n4690,psp,hydro,0.0043,1,0,0,0.043,51.417,7.397
p2891,n4691,psp,hydro,0.027,1,0,0,0.27,51.4925,7.503662
p2892,n4693,psp,hydro,0.0044,1,0,0,0.044,51.644,8.069
p2893,n4694,psp,hydro,0.08548,1,0,0,0.8548,52.212656,7.128754
p2894,n4695,psp,hydro,0.0123,1,0,0,0.123,52.464377,7.267456
p2895,n4696,psp,hydro,0.01,1,0,0,0.1,52.354,8.285
p2896,n4697,psp,hydro,0.005,1,0,0,0.05,52.334,8.285
p2897,n4698,psp,hydro,0.0398,1,0,0,0.398,51.985,7.677
p2898,n4699,psp,hydro,0.06706,1,0,0,0.6706,51.965,7.677
p2899,n4701,psp,hydro,0.0075,1,0,0,0.075,52.238,7.707
p2900,n4702,psp,hydro,0.0264,1,0,0,0.264,52.052,8.207
p2901,n4703,psp,hydro,0.0098,1,0,0,0.098,52.032,8.207
p2902,n4705,psp,hydro,0.0115,1,0,0,0.115,52.272,7.931
p2903,n4706,psp,hydro,0.0075,1,0,0,0.075,52.264,8.145
p2904,n4709,psp,hydro,0.01259,1,0,0,0.1259,49.283036,8.480072
p2905,n4710,psp,hydro,0.02646,1,0,0,0.2646,49.114332,8.54187
p2906,n4711,psp,hydro,0.0295,1,0,0,0.295,49.208626,8.589935
p2907,n4712,psp,hydro,0.0197,1,0,0,0.197,49.275869,8.964844
p2908,n4713,psp,hydro,0.02,1,0,0,0.2,49.156562,9.298553
p2909,n4714,psp,hydro,0.01,1,0,0,0.1,49.263324,9.547119
p2910,n4715,psp,hydro,0.03304,1,0,0,0.3304,50.543108,9.672089
p2911,n4716,psp,hydro,0.0093,1,0,0,0.093,50.143466,8.809662
p2912,n4718,psp,hydro,0.01,1,0,0,0.1,49.979,8.535
p2913,n4721,psp,hydro,0.00662,1,0,0,0.0662,49.422,8.501
p2914,n4723,psp,hydro,0.0033,1,0,0,0.033,49.530557,8.680573
p2915,n4725,psp,hydro,0.0033,1,0,0,0.033,49.922,8.8
p2916,n4726,psp,hydro,0.01589,1,0,0,0.1589,50.115295,8.530884
p2917,n4727,psp,hydro,0.03236,1,0,0,0.3236,50.789443,8.453979
p2918,n4728,psp,hydro,0.0184,1,0,0,0.184,51.158677,8.388062
p2919,n4729,psp,hydro,0.023,1,0,0,0.23,50.242814,8.760223
