ID,Node,Technology,Fuel,Capacity,Efficiency,Emission,VariableCost,Latitude,Longitude
p106,n7274,steam,hard coal,54,0.4,0.353889909,44.06753468,50.065155,8.768964
p107,n4743,steam,hard coal,875,0.3925,0.353889909,44.62588411,52.38279238,8.996004114
p108,n3505,steam,hard coal,26.9,0.4,0.353889909,44.06753468,48.88316,8.6653
p109,n4583,steam,hard coal,655.6,0.365,0.353889909,46.86948001,49.33413028,7.031355928
p110,n5542,steam,hard coal,514,0.41,0.353889909,43.35484475,54.14282177,12.13287489
p111,n4583,steam,hard coal,50,0.395,0.353889909,44.43741173,49.223899,7.014899
p112,n4855,steam,hard coal,24.8,0.3475,0.353889909,48.48211041,49.97745,9.06872
p113,n3507,steam,hard coal,22.6,0.4475,0.353889909,40.96593998,48.782453,9.231483
p114,n3507,steam,hard coal,45,0.38,0.353889909,45.60544452,48.815833,9.221111
p115,n3507,steam,hard coal,45,0.385,0.353889909,45.20598742,48.815833,9.221111
p116,n5673,steam,hard coal,40,0.4,0.353889909,44.06753468,52.9751813,10.5573974
p117,n7783,steam,hard coal,20.7,0.37,0.353889909,46.43674714,48.39704,9.96484
p118,n3314,steam,hard coal,332.7,0.4025,0.353889909,43.88604221,48.180506,11.639612
p119,n4584,steam,hard coal,318,0.3525,0.353889909,48.00502016,51.57962,6.67888
p120,n4584,steam,hard coal,322,0.3525,0.353889909,48.00502016,51.57962,6.67888
p121,n4584,steam,hard coal,695,0.38,0.353889909,45.60544452,51.576475,6.689428
p122,n4584,steam,hard coal,695,0.3875,0.353889909,45.01012458,51.576475,6.689428
p123,n7711,steam,hard coal,179,0.38,0.353889909,45.60544452,49.249018,6.879244
p124,n7711,steam,hard coal,211,0.3975,0.353889909,44.25131007,49.249018,6.879244
p125,n7271,steam,hard coal,96,0.335,0.353889909,49.7371426,49.017472,9.157389
p126,n7271,steam,hard coal,148,0.3425,0.353889909,48.9731303,49.017472,9.157389
p127,n7878,steam,hard coal,123,0.33,0.353889909,50.26577737,53.56695702,9.724445343
p128,n7878,steam,hard coal,137,0.3275,0.353889909,50.53614782,53.56695702,9.724445343
p129,n4688,steam,hard coal,310,0.38,0.353889909,45.60544452,51.276361,7.705667
p130,n8028,steam,hard coal,620,0.385,0.353889909,45.20598742,51.672453,7.709947
p131,n5643,steam,hard coal,757,0.365,0.353889909,46.86948001,53.565819,8.146245
p132,n5655,steam,hard coal,731,0.4625,0.353889909,40.11884725,53.578698,8.132685
p133,n4741,steam,hard coal,61.5,0.425,0.353889909,42.34869427,51.25292,9.43796
p134,n4773,steam,hard coal,61.5,0.425,0.353889909,42.34869427,52.43279,10.78611
p135,n4741,steam,hard coal,138.5,0.3875,0.353889909,45.01012458,51.25292,9.43796
p136,n4773,steam,hard coal,138.5,0.3875,0.353889909,45.01012458,52.44223,10.76454
p137,n4648,steam,hard coal,85,0.3975,0.353889909,44.25131007,51.24835,7.11874
p138,n3312,steam,hard coal,472,0.39,0.353889909,44.81677281,48.455353,11.799456
p139,n4693,steam,hard coal,152,0.3325,0.353889909,49.99947263,51.67782,7.9742
p140,n4693,steam,hard coal,152,0.3325,0.353889909,49.99947263,51.67782,7.9742
p141,n4663,steam,hard coal,133,0.3375,0.353889909,49.47869893,51.429324,6.751984
p142,n4734,steam,hard coal,293,0.35,0.353889909,48.24186139,50.088553,8.953399
p143,n4589,steam,hard coal,93,0.3375,0.353889909,49.47869893,52.19004,8.93318
p144,n3461,steam,hard coal,28,0.4475,0.353889909,40.96593998,47.58931,8.13261
p145,n4677,steam,hard coal,95,0.335,0.353889909,49.7371426,51.62952,7.331174
p146,n4677,steam,hard coal,95,0.335,0.353889909,49.7371426,51.62952,7.331174
p147,n4677,steam,hard coal,113,0.3475,0.353889909,48.48211041,51.62952,7.331174
p148,n4734,steam,hard coal,249,0.3375,0.353889909,49.47869893,50.088553,8.953399
p149,n4677,steam,hard coal,132,0.3175,0.353889909,51.66020767,51.52849121,7.17779686
p150,n4646,steam,hard coal,345,0.3525,0.353889909,48.00502016,51.56846926,7.349182511
p151,n4585,steam,hard coal,129,0.3225,0.353889909,51.0894641,51.528611,6.711944
p152,n4667,steam,hard coal,345,0.35,0.353889909,48.24186139,51.60236802,7.009894096
p153,n4667,steam,hard coal,345,0.3525,0.353889909,48.00502016,51.60236802,7.009894096
p154,n4667,steam,hard coal,676,0.3725,0.353889909,46.22473707,51.60236802,7.009894096
p155,n4676,steam,hard coal,133,0.3325,0.353889909,49.99947263,51.550753,7.187481
p156,n4688,steam,hard coal,186,0.3525,0.353889909,48.00502016,51.27559,7.70637
p157,n4589,steam,hard coal,303,0.35,0.353889909,48.24186139,52.19004,8.93318
p158,n4720,steam,hard coal,202.5,0.34,0.353889909,49.22405591,49.445694,8.490444
p159,n4720,steam,hard coal,202.5,0.35,0.353889909,48.24186139,49.445694,8.490444
p160,n5695,steam,hard coal,35,0.38,0.353889909,45.60544452,54.80495,9.43244
p161,n5695,steam,hard coal,23,0.37,0.353889909,46.43674714,54.80495,9.43244
p162,n4693,steam,hard coal,284,0.3475,0.353889909,48.48211041,51.680278,7.969722
p163,n3461,ror,hydro,79.5,0.8,0,0,47.58629,8.13207
p164,n4763,ror,hydro,0.1,0.8,0,0,51.98513,9.82246
p165,n4679,ror,hydro,15,0.8,0,0,51.093173,7.86272
p166,n3320,ror,hydro,40.4,0.8,0,0,48.3206154,13.3160755
p167,n3457,ror,hydro,36.8,0.8,0,0,47.5585312,7.9556579
p169,n3311,ror,hydro,23.7,0.8,0,0,48.750807,11.273237
p170,n5662,ror,hydro,9.9,0.8,0,0,53.061134,8.864937
p171,n8046,ror,hydro,10.3,0.8,0,0,47.739292,10.825702
p172,n3318,ror,hydro,45,0.8,0,0,48.1769,12.84045
p173,n3480,ror,hydro,11,0.8,0,0,48.527536,9.3488325
p174,n3319,ror,hydro,15,0.8,0,0,48.63404,12.48369
p175,n3461,ror,hydro,24,0.8,0,0,47.598482,8.170982
p178,n7998,ror,hydro,20,0.8,0,0,51.167139,9.046832
p179,n3315,ror,hydro,26,0.8,0,0,48.3585905,11.8821921
p180,n4611,ror,hydro,16.4,0.8,0,0,50.123918,7.225915
p181,n3501,ror,hydro,9.7,0.8,0,0,48.596746,10.8789
p182,n4611,ror,hydro,18.4,0.8,0,0,49.97667,7.127777
p183,n3320,ror,hydro,36.5,0.8,0,0,48.2935129,13.1585196
p184,n4547,ror,hydro,17.8,0.8,0,0,51.536513,14.382898
p186,n3464,ror,hydro,22,0.8,0,0,48.6731884,8.355705841
p187,n3464,ror,hydro,43,0.8,0,0,48.6693835,8.353047617
p188,n7823,ror,hydro,12.1,0.8,0,0,49.566954,6.592348
p189,n3318,ror,hydro,25,0.8,0,0,48.15395,12.31107
p196,n7273,ror,hydro,37.9,0.8,0,0,47.5523554,7.6580881
p197,n3322,ror,hydro,66,0.8,0,0,48.5195636,13.7085052
p200,n4627,ror,hydro,14,0.8,0,0,50.628507,6.479111
p201,n4627,ror,hydro,16,0.8,0,0,50.628568,6.451776
p203,n3492,ror,hydro,10,0.8,0,0,48.603156,10.582724
p204,n4501,ror,hydro,59.8,0.8,0,0,50.61433423,11.49212837
p206,n3464,ror,hydro,146,0.8,0,0,48.83135,8.11216
p207,n3305,ror,hydro,19.8,0.8,0,0,48.750317,11.412153
p208,n8046,ror,hydro,16.7,0.8,0,0,48.084026,10.864936
p209,n3495,ror,hydro,50,0.8,0,0,48.063827,10.128443
p210,n3495,ror,hydro,14.2,0.8,0,0,48.0612649,10.1284379
p211,n4614,ror,hydro,16,0.8,0,0,50.365855,7.58171
p214,n3461,ror,hydro,19,0.8,0,0,47.57136,8.33826
p215,n3492,ror,hydro,10.1,0.8,0,0,48.558394,10.411764
