Nuclear,Lignite,HardCoal,NaturalGas,Oil(light),Oil(heavy),OtherFuels,Waste,hydro,Biomass,Geothermal,wind onshore,wind offshore,sun
1,1,1,1,1,1,1,1,1,1,1,0.077210741,0.044325482,0
1,1,1,1,1,1,1,1,1,1,1,0.07164347,0.017130621,0
1,1,1,1,1,1,1,1,1,1,1,0.061071278,0.014561028,0
1,1,1,1,1,1,1,1,1,1,1,0.044060172,0.00856531,0.000832308
1,1,1,1,1,1,1,1,1,1,1,0.033853508,0.006423983,0.008648766
1,1,1,1,1,1,1,1,1,1,1,0.026064951,0.013490364,0.022399942
1,1,1,1,1,1,1,1,1,1,1,0.021144384,0.004925054,0.034956937
1,1,1,1,1,1,1,1,1,1,1,0.017039224,0.004068522,0.040312658
1,1,1,1,1,1,1,1,1,1,1,0.013130887,0.005995717,0.036766302
1,1,1,1,1,1,1,1,1,1,1,0.009081963,0.005567452,0.025692987
1,1,1,1,1,1,1,1,1,1,1,0.007619851,0.002569593,0.010096258
1,1,1,1,1,1,1,1,1,1,1,0.007029383,0.007922912,0.000904683
1,1,1,1,1,1,1,1,1,1,1,0.007619851,0.02633833,0
1,1,1,1,1,1,1,1,1,1,1,0.010262899,0.030835118,0
1,1,1,1,1,1,1,1,1,1,1,0.014789821,0.041541756,0
1,1,1,1,1,1,1,1,1,1,1,0.019429214,0.06509636,0
1,1,1,1,1,1,1,1,1,1,1,0.024209194,0.077087794,0
1,1,1,1,1,1,1,1,1,1,1,0.025924364,0.086509636,0
1,1,1,1,1,1,1,1,1,1,1,0.029860818,0.115631692,0
1,1,1,1,1,1,1,1,1,1,1,0.03393786,0.152462527,0
1,1,1,1,1,1,1,1,1,1,1,0.035681147,0.192719486,0
1,1,1,1,1,1,1,1,1,1,1,0.038858428,0.201713062,0
1,1,1,1,1,1,1,1,1,1,1,0.041613946,0.256316916,0
1,1,1,1,1,1,1,1,1,1,1,0.045775341,0.323554604,0
1,1,1,1,1,1,1,1,1,1,1,0.051230142,0.355674518,0
1,1,1,1,1,1,1,1,1,1,1,0.057415999,0.379657388,0
1,1,1,1,1,1,1,1,1,1,1,0.067257135,0.450749465,0
1,1,1,1,1,1,1,1,1,1,1,0.079432026,0.526766595,0.001266556
1,1,1,1,1,1,1,1,1,1,1,0.086545761,0.555888651,0.011652312
1,1,1,1,1,1,1,1,1,1,1,0.086433291,0.560385439,0.029637403
1,1,1,1,1,1,1,1,1,1,1,0.090257275,0.539614561,0.048708113
1,1,1,1,1,1,1,1,1,1,1,0.09191621,0.556531049,0.059347181
1,1,1,1,1,1,1,1,1,1,1,0.102713342,0.546680942,0.053955272
1,1,1,1,1,1,1,1,1,1,1,0.113482356,0.537044968,0.036983426
1,1,1,1,1,1,1,1,1,1,1,0.131899339,0.550963597,0.012918868
1,1,1,1,1,1,1,1,1,1,1,0.175987628,0.574089936,0.001375118
1,1,1,1,1,1,1,1,1,1,1,0.216223816,0.618415418,0
1,1,1,1,1,1,1,1,1,1,1,0.247856038,0.66124197,0
1,1,1,1,1,1,1,1,1,1,1,0.278222972,0.676873662,0
1,1,1,1,1,1,1,1,1,1,1,0.307465205,0.684368308,0
1,1,1,1,1,1,1,1,1,1,1,0.328834528,0.688865096,0
1,1,1,1,1,1,1,1,1,1,1,0.334289329,0.69379015,0
1,1,1,1,1,1,1,1,1,1,1,0.350625615,0.694218415,0
1,1,1,1,1,1,1,1,1,1,1,0.366427668,0.690149893,0
